hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,total_network_tx_count,total_network_volume,massive_whale_tx_count,massive_whale_volume,mid_whale_tx_count,mid_whale_volume,avg_gas_gwei,max_gas_gwei,unique_large_senders,unique_large_receivers,whale_contract_calls,drawdown_6h_label
2022-01-19 12:00:00,3117.15,3161.85,3082.81,3150.68,99050.14199999999,309629294.6,195517,317748,922239.63744,60,624436.479079,501,141002.00943,122.68131029333334,34994.58849,86,87,118,0
2022-01-19 18:00:00,3150.69,3156.8,3081.86,3084.02,50936.635599999994,158950160.06,116325,317605,393026.43983,31,96059.66382,414,111808.70841,185.91931610000003,52276.45001,90,71,110,0
2022-01-20 00:00:00,3084.02,3136.65,3083.0,3128.26,41583.959,129613614.64,90831,287159,302365.55181,23,104342.884294,290,70313.69261900001,117.15342531666666,20034.55962,59,52,71,0
2022-01-20 06:00:00,3128.25,3155.0,3116.68,3151.86,47316.5168,148541290.77,101857,281141,362879.32422,39,128647.473659,435,108337.67298999999,95.81589482166667,61930.21692,65,79,114,0
2022-01-20 12:00:00,3151.86,3273.37,3127.59,3232.63,113015.8522,363119044.6,225039,312859,657552.67148,67,376078.25974999997,507,140165.32129,149.20757514,50000.0,115,110,126,1
2022-01-20 18:00:00,3232.63,3249.17,2987.15,3001.48,155680.3782,483708447.76,301219,308859,551623.65986,64,185395.80130300001,579,155855.84695,223.7978678833333,25100.0,109,98,169,1
2022-01-21 00:00:00,3001.48,3034.12,2810.02,2859.2,248193.6564,719972525.55,415804,306960,1089490.7265599999,110,600498.64356,992,278726.21246,188.56829928333332,26126.83693,134,120,238,0
2022-01-21 06:00:00,2859.21,2900.0,2833.19,2848.17,135947.9291,389804391.08000004,221922,290588,544643.1148,82,201807.86288,735,188202.25411,117.62535246666666,37266.66667,142,106,135,0
2022-01-21 12:00:00,2848.18,2861.58,2730.39,2780.27,242468.5982,678148927.86,415561,299888,1086427.9903000002,157,643823.45778,939,263608.94849,161.91543453333335,58451.46536,131,134,223,1
2022-01-21 18:00:00,2780.27,2807.13,2403.0,2568.15,395411.51657,1040196878.35,669929,292462,1452236.9701,270,891464.5498500001,1126,325411.78994,277.0985219333333,127194.4592,213,194,430,0
2022-01-22 00:00:00,2567.47,2626.0,2477.93,2495.56,212720.6869,546659486.82,374361,310383,1082348.1931,192,614625.2489700001,927,262944.2559,173.19456449999998,37141.1109,239,154,286,1
2022-01-22 06:00:00,2495.97,2534.05,2300.0,2431.07,421473.70106,1026155405.78,778498,297152,1138876.52216,160,612132.19822,1161,294276.03712,180.6889456,106600.7264,209,184,370,0
2022-01-22 12:00:00,2431.07,2521.84,2361.73,2379.98,252501.4245,615536470.23,450957,299599,882554.54328,137,466248.16528,838,225279.77485,143.38911748333334,62196.0,170,142,211,0
2022-01-22 18:00:00,2379.98,2472.01,2320.0,2412.18,194661.7365,464031679.12,390697,297786,619012.30365,82,273666.79176,601,167661.83332,163.13331785,55000.0,138,103,233,0
2022-01-23 00:00:00,2412.18,2484.51,2385.9,2467.83,128928.5373,313441907.79,232633,262245,379899.40813,65,133237.121507,433,126271.97618,133.88454161666667,14200.0,80,71,108,0
2022-01-23 06:00:00,2467.84,2556.78,2450.15,2498.26,166698.769,417528071.87,312815,262075,581048.17495,68,326538.72916,501,129024.24827000001,103.36173695666666,12600.30097,101,84,129,0
2022-01-23 12:00:00,2498.26,2518.27,2405.01,2437.18,121992.5728,299661977.63,243884,282424,665981.6081699999,66,395865.816063,461,134573.61117000002,108.76179878666666,22384.39001,72,80,116,0
2022-01-23 18:00:00,2437.17,2547.65,2370.8,2539.01,162877.8822,401064418.34000003,264323,271140,668867.5209700001,58,386951.836076,493,141075.55615999998,156.86565808333333,60932.8089,85,81,117,0
2022-01-24 00:00:00,2539.0,2539.75,2414.7,2439.67,110054.3217,271548772.13,206843,264853,479101.29202,46,187857.611051,541,160688.84775,135.79611360833334,29760.59209,83,73,112,1
2022-01-24 06:00:00,2439.84,2455.95,2200.9,2238.36,319798.18751,738216849.73,537386,288878,784470.1519299999,128,342245.9863,922,269874.94199,108.17203593833334,54106.0277,179,172,286,0
2022-01-24 12:00:00,2238.36,2367.0,2159.0,2348.01,477008.1148,1063852319.0,736785,299759,1216190.4006,185,588515.4510700001,1342,392283.56958,159.19572865,81926.28549,202,176,358,0
2022-01-24 18:00:00,2348.02,2480.58,2331.73,2439.29,216274.0799,519214192.35,367875,293619,962220.04119,120,579253.25771,683,202074.32974,162.33445986666666,65246.31909,157,116,140,0
2022-01-25 00:00:00,2439.56,2442.9,2375.01,2394.06,87056.0901,209124802.25,165928,290145,562262.22233,60,255461.095814,553,151475.36921,159.4205995833333,86120.06837,119,95,102,0
2022-01-25 06:00:00,2394.06,2453.06,2348.96,2424.33,119134.99220000001,286325630.68,231038,292829,487257.57732,53,205624.49542,536,135599.7458,91.27226349,50012.74242,84,88,98,0
