hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,drawdown_6h_label
2018-05-10 12:00:00,760.83,766.93,736.07,741.99,31857.42003,24036086.548,30053,0
2018-05-10 18:00:00,742.0,745.77,720.0,722.52,28427.74481,20872844.535,26424,0
2018-05-11 00:00:00,722.52,737.23,714.79,736.8,28649.650739999997,20817086.494999997,28203,1
2018-05-11 06:00:00,736.8,736.98,676.19,678.0,86071.35569,60097155.491,76014,0
2018-05-11 12:00:00,677.6,694.8,666.73,681.04,70716.02119,48058609.535000004,55468,0
2018-05-11 18:00:00,681.69,693.46,663.0,676.96,31516.52229,21363996.295,32323,1
2018-05-12 00:00:00,676.96,687.0,653.0,653.65,25931.41329,17402199.082,25827,1
2018-05-12 06:00:00,653.65,689.31,633.2,677.13,65473.00541,42997307.076,62136,1
2018-05-12 12:00:00,677.07,690.0,651.04,668.79,52794.69447,35382445.996,47745,0
2018-05-12 18:00:00,668.79,690.2,661.74,684.11,22601.9617,15319714.172,23469,0
2018-05-13 00:00:00,684.56,689.11,666.31,674.5,15834.87071,10709392.326,16974,0
2018-05-13 06:00:00,675.04,700.69,673.8,695.01,33919.70376,23411281.536,25664,0
2018-05-13 12:00:00,695.84,740.0,694.82,718.0,59068.31432,42484553.494,47749,0
2018-05-13 18:00:00,718.0,742.0,717.02,729.08,27199.50328,19910937.63,26346,1
2018-05-14 00:00:00,729.08,733.99,687.0,699.0,53971.40434,38136334.95,41134,0
2018-05-14 06:00:00,699.45,716.87,691.78,713.34,31766.11259,22393821.17,28388,1
2018-05-14 12:00:00,713.33,741.0,686.0,733.84,69086.15506,49955574.532,55187,0
2018-05-14 18:00:00,733.84,743.9,717.0,727.49,28643.25041,20911358.469,28078,0
2018-05-15 00:00:00,727.49,736.48,720.0,732.42,20695.142,15069965.291000001,20065,0
2018-05-15 06:00:00,733.0,740.0,722.0,732.51,34531.74709,25269620.976,27826,1
2018-05-15 12:00:00,732.51,735.85,707.75,716.93,43503.7261,31386601.952,36456,1
2018-05-15 18:00:00,716.94,717.55,695.0,704.91,28460.60344,20143353.623999998,31559,1
2018-05-16 00:00:00,704.91,709.0,673.52,683.07,38741.92194,26623574.709,39765,0
2018-05-16 06:00:00,684.0,712.84,680.49,704.66,26391.44085,18313939.845,30201,1
2018-05-16 12:00:00,704.66,708.28,678.01,693.26,36527.88608,25342653.463,33976,0
2018-05-16 18:00:00,693.27,707.5,691.75,706.29,17241.22008,12035078.496,18014,0
2018-05-17 00:00:00,706.8,719.25,702.89,710.85,29826.386440000002,21220723.012000002,26593,0
2018-05-17 06:00:00,710.85,712.49,695.0,700.95,21565.7229,15146354.279,23598,0
2018-05-17 12:00:00,701.71,708.56,688.0,691.12,22075.572650000002,15450428.285,24148,1
2018-05-17 18:00:00,691.12,691.98,662.0,667.62,33255.701759999996,22502495.678,35271,0
2018-05-18 00:00:00,667.62,681.0,656.0,676.6,36409.98365,24340076.304,33067,0
2018-05-18 06:00:00,676.59,685.68,667.27,680.56,24883.00853,16890014.435,29178,0
2018-05-18 12:00:00,680.78,683.98,667.89,678.9,22047.18458,14917409.389,26757,0
2018-05-18 18:00:00,678.88,694.9,675.73,692.6,23201.48631,15970876.397,25417,0
2018-05-19 00:00:00,693.26,696.0,682.46,691.05,15482.04899,10676330.311,20649,0
2018-05-19 06:00:00,691.05,709.16,682.31,709.16,19674.694349999998,13615641.092,24516,0
2018-05-19 12:00:00,709.16,717.8,696.3,701.31,36115.589570000004,25523727.255,32328,0
2018-05-19 18:00:00,701.32,704.99,684.0,697.0,17556.5235,12210901.1497,22367,0
2018-05-20 00:00:00,697.0,708.56,688.4,705.21,20158.24214,14115781.050999999,24066,0
2018-05-20 06:00:00,705.21,718.2,703.7,712.5,20138.07563,14331235.8979,23154,0
2018-05-20 12:00:00,713.13,729.88,706.98,721.2,27763.080260000002,19869533.985,24467,0
