hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,total_network_tx_count,total_network_volume,massive_whale_tx_count,massive_whale_volume,mid_whale_tx_count,mid_whale_volume,avg_gas_gwei,max_gas_gwei,unique_large_senders,unique_large_receivers,whale_contract_calls,drawdown_6h_label,Market_Regime
2021-01-22 18:00:00,1234.16,1273.79,1218.0,1232.62,286538.02424,357975844.07,274638,266335,604446.56733,98,218542.68659000003,830,223330.97523,98.10307356333334,33765.89914,126,120,206,0,0
2021-01-23 00:00:00,1232.61,1265.51,1205.7,1263.54,254678.62929,313262561.82,276653,285440,615258.11156,56,218720.36309,829,237298.03446,82.75437167,33797.61234,143,130,169,1,0
2021-01-23 06:00:00,1263.53,1272.44,1212.5,1219.07,272937.42648,340669828.47,244309,305506,758159.6588,64,399983.04638,743,197112.84198,75.16103880666667,39299.30371,125,122,151,0,0
2021-01-23 12:00:00,1219.07,1259.86,1195.9,1252.99,283559.10652,349202178.44,240267,285657,582073.89428,59,181112.41942,796,232452.37471,79.60399009833334,38123.17387,119,115,187,0,0
2021-01-23 18:00:00,1252.99,1264.0,1223.85,1233.6,198369.92029,247441123.03,171642,264063,516836.96228,53,170384.02956,660,196463.09408,84.58099632166666,31019.42852,122,102,203,0,0
2021-01-24 00:00:00,1233.46,1334.88,1220.0,1326.0,412871.87803,529837377.6,308776,272084,619467.10409,82,189410.60169,959,261049.64573,72.18436391666667,31731.80992,178,171,149,0,0
2021-01-24 06:00:00,1325.99,1350.04,1305.72,1342.97,313555.99796999997,416693220.03,275036,290565,836534.59936,94,366828.134107,1017,274209.31568,61.72525854833333,28072.68909,152,120,193,1,1
2021-01-24 12:00:00,1343.07,1365.0,1298.22,1357.52,435965.05246,578853030.86,395136,287511,904540.22075,117,365826.10155,1184,330237.92028,88.36391309833334,32225.36143,173,160,224,1,1
2021-01-24 18:00:00,1357.62,1398.83,1310.0,1392.51,348486.60968999995,471381998.94,335038,267584,755733.0462399999,96,291222.16763000004,970,249187.44372,104.94328837,27915.71078,157,134,219,0,1
2021-01-25 00:00:00,1392.19,1475.0,1383.12,1440.46,618963.5168,886161357.82,520694,296573,1371622.0208,192,560961.73304,1828,498972.99497,132.94848397333334,73842.13837,348,271,318,1,1
2021-01-25 06:00:00,1440.45,1445.0,1379.08,1411.18,337823.45992,475851307.97,310987,315789,836027.40786,127,373745.62076,982,251567.57218,85.41060664166667,30196.5269,173,148,188,0,1
2021-01-25 12:00:00,1411.41,1444.36,1387.0,1398.98,448451.47625,635369728.8399999,375638,319840,933641.4537,140,406907.20571,1091,287417.84442,119.81835711666666,22448.51745,184,162,188,1,1
2021-01-25 18:00:00,1398.99,1405.26,1293.69,1317.88,480202.85998,646884842.38,454193,275061,888937.8807,131,348108.21387,1288,325411.80615,96.58807967,30067.0,171,181,324,0,1
2021-01-26 00:00:00,1317.6,1378.49,1297.0,1338.77,387980.62906,519570819.93,348252,292902,828777.12279,117,337044.20214,1109,301405.34574,81.13393758,16285.16079,147,145,217,1,1
2021-01-26 06:00:00,1338.63,1344.82,1294.83,1313.46,334202.62459,440696727.87,304204,310661,932674.9618,115,414385.7138,1119,321606.00844,73.021928945,22944.50304,150,140,206,1,1
2021-01-26 12:00:00,1313.61,1329.98,1244.56,1329.39,613714.1857799999,789556854.97,473006,317249,1436119.6413,182,753491.70828,1592,442986.35433,97.79427409833332,130000.0,197,183,314,0,1
2021-01-26 18:00:00,1329.4,1374.22,1317.76,1365.97,347026.21861,466927265.67,297716,273783,812806.6689,116,413922.59422,883,223802.66187,86.92712487833334,14131.33226,132,112,187,1,1
2021-01-27 00:00:00,1366.54,1373.9,1273.13,1284.01,345734.76412,455022514.75,317567,271065,952064.0723,99,489692.94021,949,268238.43124,72.5671835,24935.52514,127,113,157,1,1
2021-01-27 06:00:00,1284.0,1310.73,1245.0,1249.02,471036.43111,600549134.8199999,391434,311611,898898.8171699999,142,408757.38931,1085,291072.56047,75.48554729833333,24313.74762,146,148,251,1,1
2021-01-27 12:00:00,1248.78,1307.76,1207.0,1257.24,750847.05413,942257994.0,623283,301180,1233735.6081,155,543851.19754,1558,435561.14869,147.66328478833333,24761.19742,242,199,336,0,1
2021-01-27 18:00:00,1257.26,1297.0,1222.17,1239.03,442153.83415,556820257.42,405012,257124,901952.9983,130,402276.44059,1042,298092.56882,102.35687730166669,50000.0,164,155,283,0,1
2021-01-28 00:00:00,1238.93,1303.18,1217.23,1301.42,286579.41196,362404700.29,293117,277088,801550.9131,131,358950.54116,934,273250.75189,83.713697765,22163.28746,139,132,199,1,1
2021-01-28 06:00:00,1301.41,1325.0,1260.0,1302.55,339489.12383,439568459.3,303979,311615,644463.80596,62,201155.621994,991,256280.08253,80.61616777333333,852470.321,160,139,216,0,2
2021-01-28 12:00:00,1302.54,1358.61,1292.59,1336.41,471272.45194,629481519.15,432359,317544,1133842.0257,165,578669.88435,1185,316585.70313,117.15708451333334,36123.86165,201,189,186,0,1
2021-01-28 18:00:00,1336.41,1360.0,1320.0,1329.69,267928.73193,359036199.39,245569,284587,828819.6374,148,416949.40499,841,223635.96367,97.45930324333334,17157.07475,149,144,145,1,1
2021-01-29 00:00:00,1329.44,1374.13,1285.35,1302.9,419980.37233,558927770.8299999,368193,334607,1126977.47183,133,490443.08564,1373,385528.58719,137.378027385,35932.22313,187,193,176,0,1
2021-01-29 06:00:00,1302.9,1429.99,1292.53,1416.96,818351.73916,1114989140.49,569635,344683,1204705.7261,153,473288.83681,1573,431862.10489,158.95874900666666,23883.84168,260,227,252,1,1
2021-01-29 12:00:00,1416.83,1436.9,1365.0,1372.52,559729.31215,783942435.82,396959,323541,1607050.5295,242,978743.80786,1383,360819.11425,144.62091515,47619.04762,230,213,320,1,1
2021-01-29 18:00:00,1372.58,1409.99,1313.12,1379.5,455901.76323,620137454.0899999,379289,291132,1346685.859,279,871248.76664,1025,263133.48269,124.57369435,26840.68062,168,152,202,1,1
2021-01-30 00:00:00,1379.56,1406.0,1326.41,1336.82,340501.6146,463372360.14,321142,297098,1490141.76644,183,1022028.49028,1013,278883.77369,87.65454912,36091.9219,163,143,223,0,1
2021-01-30 06:00:00,1336.81,1357.0,1328.16,1340.01,233298.76187,313604812.38,198344,310345,560029.42,70,218975.87848,645,169640.69605,77.53815772333333,13315.10161,98,96,137,0,0
2021-01-30 12:00:00,1340.01,1380.3,1330.25,1370.43,283796.56622000004,385951074.89,271894,322012,708816.24186,72,243032.79009,965,244372.06423,152.40331512166668,64969.02398,156,157,177,0,0
2021-01-30 18:00:00,1370.57,1390.0,1363.11,1378.05,182445.29361,251303155.09,221794,288786,510721.65312,49,205269.844429,537,122192.77644,134.44004455,34692.77124,91,74,143,0,0
2021-01-31 00:00:00,1378.04,1380.74,1344.78,1350.49,170311.00486000002,232055106.09,157441,306876,757215.95398,138,355476.27706,727,201018.46864,130.99676730000002,36161.44938,126,111,207,0,1
2021-01-31 06:00:00,1350.49,1357.43,1338.0,1354.29,178162.32942,240283165.27,158284,319619,673478.1780600001,73,271161.37950000004,763,219207.49287,88.82551422,22621.34937,102,113,186,1,0
2021-01-31 12:00:00,1354.36,1371.85,1284.07,1289.96,419331.437,555487676.5,309047,314109,701766.87965,88,244128.13004,906,229302.30035,152.87712516666667,21304.22082,152,135,183,0,0
2021-01-31 18:00:00,1289.89,1321.93,1281.12,1312.55,190900.0844,249016312.07,203404,304320,885315.4120100001,123,534464.82105,618,170113.13996,144.76221731666666,35903.78757,112,114,122,1,0
2021-02-01 00:00:00,1312.45,1330.0,1269.99,1320.48,339547.30637,442982258.99,276689,321413,710811.96007,84,276342.72153,915,238923.59047,132.20668824999998,14796.69431,164,158,205,0,1
2021-02-01 06:00:00,1320.6,1345.19,1301.7,1336.41,293084.49163,388357694.73,244180,354867,704270.71024,67,247365.27265,859,227942.9127,137.47578033333335,36134.39878,132,119,167,0,0
2021-02-01 12:00:00,1336.4,1345.52,1300.0,1318.49,252070.05231,332749011.68,219216,333013,958483.0173,112,427484.16793,1050,270510.13709,176.72170038333334,23223.90365,178,144,203,0,1
2021-02-01 18:00:00,1318.5,1377.99,1316.48,1374.17,211696.06835,285374801.33,175499,291158,814021.54389,115,378123.65631,838,222660.46472,171.30863184999998,36134.38656,157,140,198,0,1
2021-02-02 00:00:00,1374.09,1411.02,1360.28,1388.08,310505.31426,429692302.5,283527,312849,795335.6444999999,85,251983.70876,1129,300282.20157000003,161.0911914666667,100000.0,191,155,236,0,1
2021-02-02 06:00:00,1388.08,1458.0,1387.92,1419.58,559371.99443,798534698.98,417851,341044,1135959.7117,142,335412.25109000003,1909,495480.2024,161.11529975,24402.30504,295,234,314,0,1
2021-02-02 12:00:00,1419.58,1500.0,1408.0,1472.94,574691.70178,836325845.19,469766,337697,1423151.4619,210,755695.41236,1484,389445.88182,198.5252150166667,25375.1,272,230,239,0,1
2021-02-02 18:00:00,1472.99,1547.9,1468.41,1511.87,499658.98833,757064485.7,443397,311301,1663459.2041,229,1018155.73749,1372,373438.19577,183.27448936666667,32520.52826,259,225,227,0,1
2021-02-03 00:00:00,1511.93,1561.88,1508.39,1543.0,312255.47860000003,479252656.39,280166,318598,1217716.9433,223,650999.3473799999,1159,312257.18539,142.68696006666667,21329.35011,191,165,174,0,1
2021-02-03 06:00:00,1543.01,1571.0,1512.38,1537.68,377379.01428,581818164.05,318566,340987,1110691.4303,157,532421.47862,1124,309361.21071,142.89743516666667,39337.61284,202,148,173,0,1
2021-02-03 12:00:00,1537.93,1642.26,1523.24,1640.25,502962.10566,796167619.82,446338,335553,1191471.8169,181,575083.77412,1232,329276.65889,210.55570941666667,24231.0873,184,173,171,0,1
2021-02-03 18:00:00,1640.24,1669.35,1600.44,1664.49,343273.2895,561648601.23,339909,319768,1195430.9243,141,663202.18999,1093,268578.11029,197.54982238333332,15330.8913,194,184,189,0,1
